"Time"	"Standard force"	"Standard travel"
"s"	"N"	"mm"
20,3705	0,38776	0,0511907
20,4705	0,387523	0,051462
20,5705	0,373831	0,0517494
20,6705	0,42457	0,0520291
20,7705	0,369374	0,0522915
20,8705	0,418042	0,0525827
20,9705	0,382181	0,0528636
21,0705	0,365067	0,053144
21,1705	0,372345	0,0534214
21,2705	0,397808	0,0536927
21,3705	0,388775	0,0539736
21,4705	0,390606	0,0542453
21,5705	0,385361	0,0545254
21,6705	0,364148	0,0547968
21,7705	0,39202	0,0550741
21,8705	0,390992	0,0553673
21,9705	0,39066	0,055631
22,0705	0,414323	0,055904
22,1705	0,408652	0,0561933
22,2705	0,412661	0,056472
22,3705	0,427095	0,0567448
22,4705	0,401975	0,057014
22,5705	0,374417	0,057309
22,6705	0,402917	0,0575935
22,7705	0,406756	0,0578507
22,8705	0,390602	0,0581319
22,9705	0,374092	0,0584114
23,0705	0,384439	0,0586962
23,1705	0,353639	0,058962
23,2705	0,402561	0,0592384
23,3705	0,374077	0,0595373
23,4705	0,418728	0,059804
23,5705	0,38079	0,0600811
23,6705	0,381977	0,0603597
23,7705	0,384382	0,0606426
23,8705	0,375385	0,0609061
23,9705	0,381523	0,0611945
24,0705	0,383014	0,0614741
24,1705	0,416206	0,0617478
24,2705	0,395513	0,0620273
24,3705	0,375823	0,0623003
24,4705	0,383476	0,0625702
24,5705	0,407272	0,0628638
24,6705	0,405834	0,0631352
24,7705	0,38097	0,0634021
24,8705	0,413228	0,0637005
24,9705	0,387642	0,0639732
25,0705	0,402867	0,064252
25,1705	0,400788	0,0645322
25,2705	0,39928	0,0648071
25,3705	0,399547	0,0650873
25,4705	0,430258	0,0653612
25,5705	0,419848	0,0656367
25,6705	0,430485	0,0659011
25,7705	0,405217	0,0661928
25,8705	0,421493	0,0664706
25,9705	0,391662	0,0667468
26,0705	0,397332	0,0670193
26,1705	0,391406	0,0673072
26,2705	0,420683	0,0675861
26,3705	0,405393	0,0678607
26,4705	0,4299	0,0681311
26,5705	0,391778	0,0684211
26,6705	0,413315	0,0687
26,7705	0,389027	0,0689679
26,8705	0,397173	0,0692344
26,9705	0,39337	0,0695214
27,0705	0,409956	0,0698061
27,1705	0,423725	0,0700702
27,2705	0,432827	0,0703663
27,3705	0,405504	0,0706478
27,4705	0,399556	0,0709166
27,5705	0,413752	0,0711885
27,6705	0,398314	0,0714643
27,7705	0,434994	0,0717447
27,8705	0,400073	0,0720254
27,9705	0,382801	0,0723027
28,0705	0,414911	0,0725851
28,1705	0,391789	0,0728676
28,2705	0,396319	0,0731384
28,3705	0,4122	0,0734138
28,4705	0,40727	0,0736979
28,5705	0,423097	0,0739741
28,6705	0,446035	0,0742513
28,7705	0,401404	0,0745277
28,8705	0,389155	0,0747941
28,9705	0,411589	0,0750712
29,0705	0,398877	0,0753592
29,1705	0,415568	0,0756434
29,2705	0,402032	0,0759117
29,3705	0,394788	0,0761996
29,4705	0,402757	0,076479
29,5705	0,416534	0,0767441
29,6705	0,394928	0,0770216
29,7705	0,425497	0,0773036
29,8705	0,411457	0,0775784
29,9705	0,423765	0,0778601
30,0705	0,384685	0,0781459
30,1705	0,383941	0,0784203
30,2705	0,386652	0,0786889
30,3705	0,404585	0,0789695
30,4705	0,368786	0,079252
30,5705	0,386393	0,0795306
30,6705	0,394117	0,0797988
30,7705	0,404917	0,0800838
30,8705	0,374518	0,0803584
30,9705	0,435969	0,0806412
31,0705	0,380145	0,080903
31,1705	0,378937	0,0811756
31,2705	0,386468	0,0814745
31,3705	0,383947	0,0817524
31,4705	0,378002	0,0820217
31,5705	0,405635	0,0823081
31,6705	0,372707	0,082583
31,7705	0,415635	0,0828655
31,8705	0,407013	0,0831362
31,9705	0,362667	0,0834194
32,0705	0,428846	0,0836898
32,1705	0,384924	0,0839606
32,2705	0,393062	0,084249
32,3705	0,393683	0,0845234
32,4705	0,413062	0,0848018
32,5705	0,387877	0,0850818
32,6705	0,420559	0,0853591
32,7705	0,410702	0,0856434
32,8705	0,38407	0,0859193
32,9705	0,39445	0,0861939
33,0705	0,381348	0,0864641
33,1705	0,402771	0,0867367
33,2705	0,404898	0,0870282
33,3705	0,402875	0,0872993
33,4705	0,409756	0,0875811
33,5705	0,41454	0,0878567
33,6705	0,379764	0,0881281
33,7705	0,360475	0,0884112
33,8705	0,38438	0,088691
33,9705	0,397186	0,0889741
34,0705	0,373707	0,0892465
34,1705	0,3853	0,0895195
34,2705	0,417411	0,0898142
34,3705	0,406556	0,0900835
34,4705	0,393449	0,0903524
34,5705	0,395909	0,0906368
34,6705	0,392778	0,0909176
34,7705	0,385379	0,0911941
34,8705	0,400435	0,091469
34,9705	0,400452	0,0917433
35,0705	0,390719	0,0920216
35,1705	0,429534	0,0923128
35,2705	0,390486	0,0925691
35,3705	0,386614	0,0928523
35,4705	0,412386	0,0931382
35,5705	0,377269	0,0934188
35,6705	0,383347	0,0936874
35,7705	0,38498	0,0939717
35,8705	0,3989	0,0942514
35,9705	0,390178	0,094523
36,0705	0,391429	0,0948015
36,1705	0,378293	0,0950789
36,2705	0,369684	0,0953627
36,3705	0,377709	0,0956322
36,4705	0,393807	0,0959097
36,5705	0,389048	0,0961929
36,6705	0,418246	0,0964774
36,7705	0,388871	0,0967471
36,8705	0,381497	0,0970287
36,9705	0,391999	0,0972916
37,0705	0,366469	0,0975706
37,1705	0,387395	0,0978649
37,2705	0,369331	0,0981358
37,3705	0,397438	0,0984111
37,4705	0,387106	0,0986828
37,5705	0,363503	0,0989619
37,6705	0,366855	0,099258
37,7705	0,384862	0,0995247
37,8705	0,37796	0,099803
37,9705	0,388697	0,100075
38,0705	0,390682	0,100364
38,1705	0,391725	0,100629
38,2705	0,380347	0,100904
38,3705	0,405513	0,101197
38,4705	0,392912	0,101468
38,5705	0,38867	0,101741
38,6705	0,38473	0,102024
38,7705	0,389979	0,102312
38,8705	0,387892	0,102578
38,9705	0,383237	0,102854
39,0705	0,392555	0,103143
39,1705	0,383818	0,103418
39,2705	0,38703	0,103683
39,3705	0,389037	0,103963
39,4705	0,399467	0,10426
39,5705	0,389035	0,104524
39,6705	0,398041	0,104799
39,7705	0,400544	0,105095
39,8705	0,417693	0,105355
39,9705	0,39403	0,105621
40,0705	0,377241	0,105918
40,1705	0,379877	0,106208
40,2705	0,379914	0,10646
40,3705	0,386769	0,106732
40,4705	0,381771	0,107023
40,5705	0,39543	0,10731
